Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1635768000000,2021-11-01 12:00:00,27,20,7,-81,342.33,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1635854400000,2021-11-02 12:00:00,21,11,10,-63,107.24,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1635940800000,2021-11-03 12:00:00,22,17,5,-66,208.61,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636027200000,2021-11-04 12:00:00,28,14,14,-84,85.75,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636113600000,2021-11-05 12:00:00,19,14,5,-57,235.47,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636200000000,2021-11-06 12:00:00,15,11,4,-45,122.59,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636286400000,2021-11-07 12:00:00,19,14,5,-57,235.12,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636372800000,2021-11-08 12:00:00,26,18,8,-78,235.74,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636459200000,2021-11-09 12:00:00,23,16,7,-69,279.97,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636545600000,2021-11-10 12:00:00,39,30,9,-117,445.09,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636632000000,2021-11-11 12:00:00,27,19,8,-81,377.15,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636718400000,2021-11-12 12:00:00,26,17,9,-78,255.56,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636804800000,2021-11-13 12:00:00,21,10,11,-63,76.18,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636891200000,2021-11-14 12:00:00,19,12,7,-57,226.02,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1636977600000,2021-11-15 12:00:00,40,31,9,-120,566.11,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637064000000,2021-11-16 12:00:00,40,27,13,-120,342.46,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637150400000,2021-11-17 12:00:00,33,24,9,-99,433.26,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637236800000,2021-11-18 12:00:00,48,36,12,-144,578.78,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637323200000,2021-11-19 12:00:00,20,14,6,-60,246.01,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637409600000,2021-11-20 12:00:00,20,15,5,-60,335.92,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637496000000,2021-11-21 12:00:00,31,21,10,-93,327.13,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637582400000,2021-11-22 12:00:00,41,31,10,-123,567.29,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637668800000,2021-11-23 12:00:00,27,19,8,-81,335.63,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637755200000,2021-11-24 12:00:00,29,20,9,-87,314.66,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637841600000,2021-11-25 12:00:00,34,28,6,-102,430.72,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1637928000000,2021-11-26 12:00:00,30,18,12,-90,249.02,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1638014400000,2021-11-27 12:00:00,29,17,12,-87,204.89,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1638100800000,2021-11-28 12:00:00,29,19,10,-87,255,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1638187200000,2021-11-29 12:00:00,35,26,9,-105,456.09,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.4,0.4,1638273600000,2021-11-30 12:00:00,36,20,16,-108,247.11,9122.9,-2562,6560.9
