Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1635768000000,2021-11-01 12:00:00,24,14,10,-72,286.76,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1635854400000,2021-11-02 12:00:00,11,6,5,-33,60.97,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1635940800000,2021-11-03 12:00:00,17,8,9,-51,80.6,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636027200000,2021-11-04 12:00:00,24,10,14,-72,55.63,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636113600000,2021-11-05 12:00:00,17,13,4,-51,338.02,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636200000000,2021-11-06 12:00:00,17,6,11,-51,-31.83,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636286400000,2021-11-07 12:00:00,18,10,8,-54,294.61,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636372800000,2021-11-08 12:00:00,18,10,8,-54,175.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636459200000,2021-11-09 12:00:00,15,9,6,-45,156.06,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636545600000,2021-11-10 12:00:00,35,17,18,-105,296.31,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636632000000,2021-11-11 12:00:00,16,6,10,-48,-20.16,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636718400000,2021-11-12 12:00:00,16,7,9,-48,84.15,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636804800000,2021-11-13 12:00:00,15,8,7,-45,115.46,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636891200000,2021-11-14 12:00:00,14,8,6,-42,184.53,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1636977600000,2021-11-15 12:00:00,36,23,13,-108,540.72,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637064000000,2021-11-16 12:00:00,38,19,19,-114,431.7,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637150400000,2021-11-17 12:00:00,23,14,9,-69,348.13,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637236800000,2021-11-18 12:00:00,46,21,25,-138,324.55,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637323200000,2021-11-19 12:00:00,15,8,7,-45,106.56,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637409600000,2021-11-20 12:00:00,20,10,10,-60,116.9,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637496000000,2021-11-21 12:00:00,19,10,9,-57,205.48,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637582400000,2021-11-22 12:00:00,46,25,21,-138,555.8,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637668800000,2021-11-23 12:00:00,17,11,6,-51,286.98,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637755200000,2021-11-24 12:00:00,19,13,6,-57,331.72,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637841600000,2021-11-25 12:00:00,34,20,14,-102,571.74,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1637928000000,2021-11-26 12:00:00,23,11,12,-69,112.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1638014400000,2021-11-27 12:00:00,22,9,13,-66,76.48,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1638100800000,2021-11-28 12:00:00,22,10,12,-66,134.3,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1638187200000,2021-11-29 12:00:00,29,18,11,-87,509.38,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.5,1638273600000,2021-11-30 12:00:00,38,20,18,-114,423.58,7152.27,-2112,5040.27
