Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1614600000000,2021-03-01 12:00:00,65,46,19,-195,498.77,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1614686400000,2021-03-02 12:00:00,58,37,21,-174,419.61,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1614772800000,2021-03-03 12:00:00,79,58,21,-237,810.36,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1614859200000,2021-03-04 12:00:00,81,51,30,-243,482.67,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1614945600000,2021-03-05 12:00:00,52,35,17,-156,312.36,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615032000000,2021-03-06 12:00:00,49,29,20,-147,301.67,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615118400000,2021-03-07 12:00:00,52,38,14,-156,616.43,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615204800000,2021-03-08 12:00:00,50,35,15,-150,460.53,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615291200000,2021-03-09 12:00:00,55,41,14,-165,723.61,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615377600000,2021-03-10 12:00:00,68,43,25,-204,337.12,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615464000000,2021-03-11 12:00:00,67,47,20,-201,510.56,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615550400000,2021-03-12 12:00:00,65,41,24,-195,235,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615636800000,2021-03-13 12:00:00,46,34,12,-138,496.74,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615723200000,2021-03-14 12:00:00,65,47,18,-195,712.32,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615809600000,2021-03-15 12:00:00,87,71,16,-261,1115.56,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615896000000,2021-03-16 12:00:00,61,44,17,-183,576.59,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1615982400000,2021-03-17 12:00:00,54,35,19,-162,275.13,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616068800000,2021-03-18 12:00:00,59,42,17,-177,610.23,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616155200000,2021-03-19 12:00:00,35,22,13,-105,180.7,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616241600000,2021-03-20 12:00:00,41,33,8,-123,639.75,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616328000000,2021-03-21 12:00:00,40,32,8,-120,580.84,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616414400000,2021-03-22 12:00:00,52,37,15,-156,444.22,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616500800000,2021-03-23 12:00:00,46,33,13,-138,440.65,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616587200000,2021-03-24 12:00:00,82,52,30,-246,614.63,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616673600000,2021-03-25 12:00:00,72,53,19,-216,674.03,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616760000000,2021-03-26 12:00:00,37,28,9,-111,490.1,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616846400000,2021-03-27 12:00:00,35,32,3,-105,549.44,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1616932800000,2021-03-28 12:00:00,44,32,12,-132,463.4,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1617019200000,2021-03-29 12:00:00,35,24,11,-105,283.52,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1617105600000,2021-03-30 12:00:00,30,19,11,-90,221.09,15077.63,-4986,10091.63
