Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1619870400000,2021-05-01 12:00:00,16,8,8,-48,203.89,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1619956800000,2021-05-02 12:00:00,16,7,9,-48,258.56,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620043200000,2021-05-03 12:00:00,23,13,10,-69,263.31,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620129600000,2021-05-04 12:00:00,35,18,17,-105,510.63,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620216000000,2021-05-05 12:00:00,20,10,10,-60,186.79,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620302400000,2021-05-06 12:00:00,25,12,13,-75,245.72,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620388800000,2021-05-07 12:00:00,25,12,13,-75,218.13,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620475200000,2021-05-08 12:00:00,24,9,15,-72,107.89,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620561600000,2021-05-09 12:00:00,15,6,9,-45,165.58,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620648000000,2021-05-10 12:00:00,28,17,11,-84,368.74,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620734400000,2021-05-11 12:00:00,18,9,9,-54,168.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620820800000,2021-05-12 12:00:00,48,28,20,-144,649.05,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620907200000,2021-05-13 12:00:00,42,27,15,-126,871.4,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1620993600000,2021-05-14 12:00:00,33,17,16,-99,349.39,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621080000000,2021-05-15 12:00:00,44,29,15,-132,714.43,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621166400000,2021-05-16 12:00:00,56,35,21,-168,1317.64,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621252800000,2021-05-17 12:00:00,44,28,16,-132,774.27,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621339200000,2021-05-18 12:00:00,55,42,13,-165,1572.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621425600000,2021-05-19 12:00:00,115,90,25,-345,3857.92,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621512000000,2021-05-20 12:00:00,62,38,24,-186,1015.45,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621598400000,2021-05-21 12:00:00,83,59,24,-249,1910.85,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621684800000,2021-05-22 12:00:00,54,33,21,-162,807.23,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621771200000,2021-05-23 12:00:00,73,47,26,-219,1717.81,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621857600000,2021-05-24 12:00:00,59,37,22,-177,1071.23,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1621944000000,2021-05-25 12:00:00,35,22,13,-105,712.58,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622030400000,2021-05-26 12:00:00,44,25,19,-132,584.14,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622116800000,2021-05-27 12:00:00,39,30,9,-117,905.88,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622203200000,2021-05-28 12:00:00,46,30,16,-138,849.24,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622289600000,2021-05-29 12:00:00,43,28,15,-129,816.78,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622376000000,2021-05-30 12:00:00,34,17,17,-102,299.67,23495.88,-3762,19733.88
