Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,10,5,5,-30,179.41,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,4,3,1,-12,67.81,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,9,7,2,-27,241.81,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,5,4,1,-15,134.02,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,4,1,3,-12,-1.66,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,5,3,2,-15,85.59,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,7,4,3,-21,71.06,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,6,5,1,-18,246.44,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,6,5,1,-18,82.6,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,14,7,7,-42,206.63,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,3,2,1,-9,66.97,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,8,3,5,-24,68.62,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,7,6,1,-21,131.34,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,5,4,1,-15,212.9,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,8,6,2,-24,95.19,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,13,9,4,-39,229.2,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,8,6,2,-24,132.06,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,12,9,3,-36,285.27,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,6,3,3,-18,82.76,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,9,6,3,-27,198.14,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,7,2,5,-21,5.81000000000001,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,11,9,2,-33,288.97,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,6,5,1,-18,129.68,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,8,5,3,-24,154.88,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,12,11,1,-36,390.12,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,8,4,4,-24,51.37,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,8,4,4,-24,87.86,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,9,6,3,-27,194.8,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,8,7,1,-24,279.38,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,14,6,8,-42,100.86,4499.89,-720,3779.89
