Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1635768000000,2021-11-01 12:00:00,21,16,5,-63,317.99,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1635854400000,2021-11-02 12:00:00,15,7,8,-45,62.45,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1635940800000,2021-11-03 12:00:00,14,8,6,-42,87,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636027200000,2021-11-04 12:00:00,24,11,13,-72,114.95,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636113600000,2021-11-05 12:00:00,16,10,6,-48,228.15,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636200000000,2021-11-06 12:00:00,10,6,4,-30,59.95,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636286400000,2021-11-07 12:00:00,17,9,8,-51,166.17,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636372800000,2021-11-08 12:00:00,19,11,8,-57,188.63,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636459200000,2021-11-09 12:00:00,19,13,6,-57,268.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636545600000,2021-11-10 12:00:00,30,21,9,-90,486.06,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636632000000,2021-11-11 12:00:00,18,11,7,-54,179.35,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636718400000,2021-11-12 12:00:00,18,11,7,-54,198.29,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636804800000,2021-11-13 12:00:00,18,8,10,-54,77.38,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636891200000,2021-11-14 12:00:00,16,10,6,-48,276.2,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1636977600000,2021-11-15 12:00:00,27,21,6,-81,585.52,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637064000000,2021-11-16 12:00:00,35,21,14,-105,243.63,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637150400000,2021-11-17 12:00:00,22,15,7,-66,321.71,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637236800000,2021-11-18 12:00:00,41,27,14,-123,565.44,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637323200000,2021-11-19 12:00:00,18,10,8,-54,162.39,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637409600000,2021-11-20 12:00:00,16,10,6,-48,211.16,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637496000000,2021-11-21 12:00:00,23,12,11,-69,248.21,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637582400000,2021-11-22 12:00:00,30,24,6,-90,591.77,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637668800000,2021-11-23 12:00:00,21,13,8,-63,281.67,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637755200000,2021-11-24 12:00:00,24,15,9,-72,316.3,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637841600000,2021-11-25 12:00:00,26,20,6,-78,445.06,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1637928000000,2021-11-26 12:00:00,23,14,9,-69,242.39,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1638014400000,2021-11-27 12:00:00,17,9,8,-51,132.06,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1638100800000,2021-11-28 12:00:00,22,12,10,-66,166.82,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1638187200000,2021-11-29 12:00:00,25,17,8,-75,460.16,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.6,0.4,1638273600000,2021-11-30 12:00:00,29,13,16,-87,190.45,7876.15,-1962,5914.15
