Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1614600000000,2021-03-01 12:00:00,48,29,19,-144,265.15,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1614686400000,2021-03-02 12:00:00,42,22,20,-126,272.12,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1614772800000,2021-03-03 12:00:00,64,43,21,-192,948.65,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1614859200000,2021-03-04 12:00:00,59,33,26,-177,494.28,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1614945600000,2021-03-05 12:00:00,41,21,20,-123,149.04,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615032000000,2021-03-06 12:00:00,35,17,18,-105,157.15,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615118400000,2021-03-07 12:00:00,42,28,14,-126,676.65,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615204800000,2021-03-08 12:00:00,37,24,13,-111,433.55,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615291200000,2021-03-09 12:00:00,39,25,14,-117,596.15,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615377600000,2021-03-10 12:00:00,55,30,25,-165,249.73,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615464000000,2021-03-11 12:00:00,50,33,17,-150,533.78,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615550400000,2021-03-12 12:00:00,49,28,21,-147,206.21,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615636800000,2021-03-13 12:00:00,34,23,11,-102,394.79,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615723200000,2021-03-14 12:00:00,50,32,18,-150,615.27,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615809600000,2021-03-15 12:00:00,74,55,19,-222,1150.57,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615896000000,2021-03-16 12:00:00,45,29,16,-135,525.66,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1615982400000,2021-03-17 12:00:00,43,25,18,-129,272.19,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616068800000,2021-03-18 12:00:00,39,26,13,-117,539.59,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616155200000,2021-03-19 12:00:00,27,17,10,-81,315.2,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616241600000,2021-03-20 12:00:00,26,19,7,-78,505.01,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616328000000,2021-03-21 12:00:00,32,21,11,-96,395.37,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616414400000,2021-03-22 12:00:00,45,31,14,-135,567.72,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616500800000,2021-03-23 12:00:00,38,23,15,-114,345.6,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616587200000,2021-03-24 12:00:00,62,33,29,-186,467.77,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616673600000,2021-03-25 12:00:00,50,33,17,-150,530.67,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616760000000,2021-03-26 12:00:00,27,18,9,-81,285.18,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616846400000,2021-03-27 12:00:00,26,20,6,-78,328.91,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1616932800000,2021-03-28 12:00:00,29,18,11,-87,344.82,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1617019200000,2021-03-29 12:00:00,26,15,11,-78,251.66,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.6,0.6,1617105600000,2021-03-30 12:00:00,20,13,7,-60,283.54,13101.98,-3762,9339.98
