Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609502400000,2021-01-01 12:00:00,19,7,12,-57,3.77000000000001,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609588800000,2021-01-02 12:00:00,50,31,19,-150,964.7,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609675200000,2021-01-03 12:00:00,61,43,18,-183,1858.77,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609761600000,2021-01-04 12:00:00,49,31,18,-147,1003.67,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609848000000,2021-01-05 12:00:00,49,29,20,-147,963.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1609934400000,2021-01-06 12:00:00,49,26,23,-147,652,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610020800000,2021-01-07 12:00:00,58,42,16,-174,1301.34,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610107200000,2021-01-08 12:00:00,55,39,16,-165,1125.62,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610193600000,2021-01-09 12:00:00,36,23,13,-108,693.34,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610280000000,2021-01-10 12:00:00,94,66,28,-282,2231.14,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610366400000,2021-01-11 12:00:00,110,80,30,-330,2862.65,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610452800000,2021-01-12 12:00:00,71,48,23,-213,1427.56,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610539200000,2021-01-13 12:00:00,39,18,21,-117,227.04,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610625600000,2021-01-14 12:00:00,34,18,16,-102,418.41,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610712000000,2021-01-15 12:00:00,50,32,18,-150,953.95,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610798400000,2021-01-16 12:00:00,47,30,17,-141,874.54,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610884800000,2021-01-17 12:00:00,35,20,15,-105,572.59,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1610971200000,2021-01-18 12:00:00,26,14,12,-78,368.07,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611057600000,2021-01-19 12:00:00,41,26,15,-123,823.71,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611144000000,2021-01-20 12:00:00,52,29,23,-156,931.94,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611230400000,2021-01-21 12:00:00,84,59,25,-252,1841.04,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611316800000,2021-01-22 12:00:00,40,26,14,-120,565.99,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611403200000,2021-01-23 12:00:00,28,9,19,-84,55.62,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611489600000,2021-01-24 12:00:00,28,15,13,-84,561.27,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611576000000,2021-01-25 12:00:00,37,25,12,-111,811.73,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611662400000,2021-01-26 12:00:00,44,26,18,-132,636.55,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611748800000,2021-01-27 12:00:00,54,31,23,-162,966.96,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611835200000,2021-01-28 12:00:00,51,33,18,-153,1013.7,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1611921600000,2021-01-29 12:00:00,69,45,24,-207,1403.43,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612008000000,2021-01-30 12:00:00,24,12,12,-72,249.11,28364.05,-4452,23912.05
