Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630497600000,2021-09-01 12:00:00,24,14,10,-72,397.28,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630584000000,2021-09-02 12:00:00,28,14,14,-84,238.58,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630670400000,2021-09-03 12:00:00,16,9,7,-48,197.91,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630756800000,2021-09-04 12:00:00,19,8,11,-57,61.06,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630843200000,2021-09-05 12:00:00,11,4,7,-33,11.38,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1630929600000,2021-09-06 12:00:00,20,9,11,-60,206.33,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631016000000,2021-09-07 12:00:00,68,34,34,-204,737.26,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631102400000,2021-09-08 12:00:00,32,13,19,-96,75.92,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631188800000,2021-09-09 12:00:00,21,7,14,-63,40.69,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631275200000,2021-09-10 12:00:00,32,21,11,-96,595.17,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631361600000,2021-09-11 12:00:00,20,10,10,-60,174.55,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631448000000,2021-09-12 12:00:00,30,14,16,-90,292.41,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631534400000,2021-09-13 12:00:00,33,15,18,-99,311.97,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631620800000,2021-09-14 12:00:00,25,13,12,-75,177.22,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631707200000,2021-09-15 12:00:00,16,8,8,-48,143.37,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631793600000,2021-09-16 12:00:00,20,9,11,-60,109.3,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631880000000,2021-09-17 12:00:00,24,12,12,-72,215.28,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1631966400000,2021-09-18 12:00:00,15,7,8,-45,78.82,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632052800000,2021-09-19 12:00:00,37,17,20,-111,384.11,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632139200000,2021-09-20 12:00:00,53,25,28,-159,423.84,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632225600000,2021-09-21 12:00:00,76,35,41,-228,894.57,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632312000000,2021-09-22 12:00:00,31,12,19,-93,141.52,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632398400000,2021-09-23 12:00:00,44,21,23,-132,375.51,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632484800000,2021-09-24 12:00:00,49,26,23,-147,496.9,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632571200000,2021-09-25 12:00:00,32,12,20,-96,110.5,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632657600000,2021-09-26 12:00:00,22,11,11,-66,184.91,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632744000000,2021-09-27 12:00:00,29,15,14,-87,259.08,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632830400000,2021-09-28 12:00:00,32,17,15,-96,394.83,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1632916800000,2021-09-29 12:00:00,28,17,11,-84,559.12,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1633003200000,2021-09-30 12:00:00,39,16,23,-117,201.12,8490.51,-2778,5712.51
