Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617278400000,2021-04-01 12:00:00,22,11,11,-66,133.65,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617364800000,2021-04-02 12:00:00,16,5,11,-48,-21.11,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617451200000,2021-04-03 12:00:00,24,9,15,-72,-20.98,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617537600000,2021-04-04 12:00:00,15,7,8,-45,54.53,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617624000000,2021-04-05 12:00:00,18,9,9,-54,175.17,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617710400000,2021-04-06 12:00:00,34,17,17,-102,318.5,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617796800000,2021-04-07 12:00:00,24,9,15,-72,41.43,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617883200000,2021-04-08 12:00:00,16,7,9,-48,63.45,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1617969600000,2021-04-09 12:00:00,21,11,10,-63,228.62,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618056000000,2021-04-10 12:00:00,25,11,14,-75,70.79,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618142400000,2021-04-11 12:00:00,21,12,9,-63,220.63,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618228800000,2021-04-12 12:00:00,27,7,20,-81,-42.38,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618315200000,2021-04-13 12:00:00,26,9,17,-78,22.62,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618401600000,2021-04-14 12:00:00,34,17,17,-102,281.83,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618488000000,2021-04-15 12:00:00,31,15,16,-93,241.51,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618574400000,2021-04-16 12:00:00,24,11,13,-72,102.65,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618660800000,2021-04-17 12:00:00,67,37,30,-201,736.83,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618747200000,2021-04-18 12:00:00,42,16,26,-126,135.96,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618833600000,2021-04-19 12:00:00,58,24,34,-174,253.54,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1618920000000,2021-04-20 12:00:00,37,19,18,-111,305.39,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619006400000,2021-04-21 12:00:00,50,27,23,-150,690.55,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619092800000,2021-04-22 12:00:00,100,40,60,-300,535.39,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619179200000,2021-04-23 12:00:00,48,20,28,-144,125.9,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619265600000,2021-04-24 12:00:00,41,21,20,-123,282.52,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619352000000,2021-04-25 12:00:00,47,21,26,-141,434.21,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619438400000,2021-04-26 12:00:00,38,17,21,-114,231.96,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619524800000,2021-04-27 12:00:00,28,12,16,-84,112.09,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619611200000,2021-04-28 12:00:00,31,16,15,-93,251.15,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619697600000,2021-04-29 12:00:00,27,12,15,-81,140.15,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619784000000,2021-04-30 12:00:00,26,14,12,-78,282.86,6389.41,-3054,3335.41
