Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619870400000,2021-05-01 12:00:00,23,11,12,-69,93.24,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1619956800000,2021-05-02 12:00:00,18,9,9,-54,181.82,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620043200000,2021-05-03 12:00:00,38,20,18,-114,343.67,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620129600000,2021-05-04 12:00:00,56,23,33,-168,260.49,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620216000000,2021-05-05 12:00:00,27,11,16,-81,60.27,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620302400000,2021-05-06 12:00:00,40,17,23,-120,175.6,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620388800000,2021-05-07 12:00:00,38,19,19,-114,347.5,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620475200000,2021-05-08 12:00:00,33,14,19,-99,95.93,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620561600000,2021-05-09 12:00:00,29,13,16,-87,167.77,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620648000000,2021-05-10 12:00:00,50,21,29,-150,213.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620734400000,2021-05-11 12:00:00,30,13,17,-90,73.17,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620820800000,2021-05-12 12:00:00,92,38,54,-276,828.37,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620907200000,2021-05-13 12:00:00,78,33,45,-234,309.8,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1620993600000,2021-05-14 12:00:00,49,24,25,-147,347.25,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621080000000,2021-05-15 12:00:00,60,28,32,-180,464.09,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621166400000,2021-05-16 12:00:00,95,42,53,-285,668.17,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621252800000,2021-05-17 12:00:00,74,35,39,-222,673.34,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621339200000,2021-05-18 12:00:00,109,43,66,-327,411.44,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621425600000,2021-05-19 12:00:00,161,72,89,-483,1228.19,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621512000000,2021-05-20 12:00:00,113,41,72,-339,382.15,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621598400000,2021-05-21 12:00:00,151,56,95,-453,528.1,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621684800000,2021-05-22 12:00:00,104,39,65,-312,431.01,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621771200000,2021-05-23 12:00:00,149,52,97,-447,331.4,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621857600000,2021-05-24 12:00:00,109,42,67,-327,227.08,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1621944000000,2021-05-25 12:00:00,67,29,38,-201,339.06,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1622030400000,2021-05-26 12:00:00,71,37,34,-213,682.65,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1622116800000,2021-05-27 12:00:00,78,31,47,-234,250.44,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1622203200000,2021-05-28 12:00:00,70,34,36,-210,642.99,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1622289600000,2021-05-29 12:00:00,78,33,45,-234,436,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1622376000000,2021-05-30 12:00:00,53,22,31,-159,220.74,11414.8,-6429,4985.8
