Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,68,48,20,-204,1648.3,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,72,50,22,-216,1690.56,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,70,50,20,-210,1706.48,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,74,54,20,-222,1897.33,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,76,56,20,-228,1993.46,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,72,53,19,-216,1825.26,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,73,53,20,-219,1624.42,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,75,51,24,-225,1219.89,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,74,50,24,-222,1142,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,75,51,24,-225,1159.22,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,75,50,25,-225,1293.82,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,75,49,26,-225,1200.72,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,76,50,26,-228,1242.85,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,76,50,26,-228,1190.11,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,79,53,26,-237,1248.48,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,77,51,26,-231,1196.39,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,79,49,30,-237,1028.1,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,79,48,31,-237,968.24,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,80,49,31,-240,1036.7,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,84,50,34,-252,1148.83,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,89,53,36,-267,1110,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,90,57,33,-270,1407.55,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,86,53,33,-258,1339.89,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,91,57,34,-273,1473.57,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,89,56,33,-267,1383.38,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,94,59,35,-282,1310.87,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,93,58,35,-279,1313.24,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,94,60,34,-282,1460.41,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,96,64,32,-288,1868.59,,,
BTCUSDT,15,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,93,61,32,-279,1685.24,41813.9,-7272,34541.9
