Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612180800000,2021-02-01 12:00:00,24,12,12,-72,287.95,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612267200000,2021-02-02 12:00:00,25,13,12,-75,305.02,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612353600000,2021-02-03 12:00:00,32,14,18,-96,317.43,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612440000000,2021-02-04 12:00:00,30,14,16,-90,309.67,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612526400000,2021-02-05 12:00:00,29,17,12,-87,350.31,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612612800000,2021-02-06 12:00:00,36,20,16,-108,504.19,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612699200000,2021-02-07 12:00:00,27,16,11,-81,361.79,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612785600000,2021-02-08 12:00:00,51,36,15,-153,875,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612872000000,2021-02-09 12:00:00,42,27,15,-126,585.38,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1612958400000,2021-02-10 12:00:00,34,21,13,-102,475.86,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613044800000,2021-02-11 12:00:00,34,24,10,-102,778.8,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613131200000,2021-02-12 12:00:00,27,18,9,-81,524.04,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613217600000,2021-02-13 12:00:00,21,13,8,-63,394.98,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613304000000,2021-02-14 12:00:00,27,15,12,-81,310.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613390400000,2021-02-15 12:00:00,18,12,6,-54,325.39,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613476800000,2021-02-16 12:00:00,29,17,12,-87,429.62,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613563200000,2021-02-17 12:00:00,23,11,12,-69,196.32,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613649600000,2021-02-18 12:00:00,18,11,7,-54,213.37,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613736000000,2021-02-19 12:00:00,29,17,12,-87,409.95,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613822400000,2021-02-20 12:00:00,25,13,12,-75,296.73,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613908800000,2021-02-21 12:00:00,33,21,12,-99,516.76,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1613995200000,2021-02-22 12:00:00,76,52,24,-228,1673.06,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614081600000,2021-02-23 12:00:00,62,44,18,-186,1270.99,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614168000000,2021-02-24 12:00:00,45,22,23,-135,356.11,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614254400000,2021-02-25 12:00:00,53,32,21,-159,975.28,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614340800000,2021-02-26 12:00:00,46,31,15,-138,823.82,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614427200000,2021-02-27 12:00:00,33,22,11,-99,691.85,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614513600000,2021-02-28 12:00:00,33,18,15,-99,363.7,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614600000000,2021-03-01 12:00:00,35,19,16,-105,429.09,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1614686400000,2021-03-02 12:00:00,24,15,9,-72,423.63,15776.93,-3063,12713.93
