Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,38,16,22,-114,273.68,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,32,16,16,-96,326.9,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,26,15,11,-78,257.63,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,23,16,7,-69,333.09,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,25,17,8,-75,397.02,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,30,19,11,-90,399.42,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,35,21,14,-105,458.61,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,39,24,15,-117,746.49,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,33,19,14,-99,667.73,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,30,16,14,-90,607.04,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,25,14,11,-75,331.22,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,23,14,9,-69,378.89,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,32,26,6,-96,927.39,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,43,32,11,-129,1159.8,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,45,34,11,-135,1037.24,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,45,32,13,-135,932.22,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,35,24,11,-105,667.26,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,33,22,11,-99,708.96,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,28,20,8,-84,634.39,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,48,31,17,-144,1032.99,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,46,29,17,-138,922.36,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,46,29,17,-138,818.79,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,42,28,14,-126,911.75,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,47,33,14,-141,990.7,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,42,29,13,-126,873.84,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,35,23,12,-105,478.21,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,37,22,15,-111,579.96,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,43,25,18,-129,709.79,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,46,29,17,-138,865.3,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,42,23,19,-126,508.17,19936.84,-3282,16654.84
