Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622548800000,2021-06-01 12:00:00,35,25,10,-105,806.13,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622635200000,2021-06-02 12:00:00,26,13,13,-78,297.82,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622721600000,2021-06-03 12:00:00,27,17,10,-81,622.44,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622808000000,2021-06-04 12:00:00,29,16,13,-87,444.3,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622894400000,2021-06-05 12:00:00,21,11,10,-63,238.37,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1622980800000,2021-06-06 12:00:00,22,12,10,-66,169.88,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623067200000,2021-06-07 12:00:00,29,21,8,-87,684.48,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623153600000,2021-06-08 12:00:00,42,29,13,-126,899.14,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623240000000,2021-06-09 12:00:00,45,28,17,-135,826.87,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623326400000,2021-06-10 12:00:00,29,21,8,-87,516.93,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623412800000,2021-06-11 12:00:00,28,18,10,-84,452.81,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623499200000,2021-06-12 12:00:00,22,9,13,-66,157.83,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623585600000,2021-06-13 12:00:00,31,19,12,-93,546.89,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623672000000,2021-06-14 12:00:00,25,13,12,-75,294.66,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623758400000,2021-06-15 12:00:00,24,14,10,-72,530.68,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623844800000,2021-06-16 12:00:00,26,18,8,-78,463.55,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1623931200000,2021-06-17 12:00:00,22,11,11,-66,168.21,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624017600000,2021-06-18 12:00:00,27,13,14,-81,357.41,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624104000000,2021-06-19 12:00:00,31,19,12,-93,389.88,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624190400000,2021-06-20 12:00:00,48,30,18,-144,1121.83,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624276800000,2021-06-21 12:00:00,45,27,18,-135,772.34,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624363200000,2021-06-22 12:00:00,61,35,26,-183,801.8,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624449600000,2021-06-23 12:00:00,36,23,13,-108,631.14,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624536000000,2021-06-24 12:00:00,33,21,12,-99,719.2,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624622400000,2021-06-25 12:00:00,46,25,21,-138,703.6,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624708800000,2021-06-26 12:00:00,47,31,16,-141,985.88,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624795200000,2021-06-27 12:00:00,32,19,13,-96,696.6,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624881600000,2021-06-28 12:00:00,31,19,12,-93,558.3,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1624968000000,2021-06-29 12:00:00,24,8,16,-72,-1.84,,,
BTCUSDT,1,5000,5,0,0.05,0.15,0.8,0.4,1625054400000,2021-06-30 12:00:00,20,14,6,-60,356.88,16214.01,-2892,13322.01
