Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1635768000000,2021-11-01 12:00:00,17,11,6,-51,259.03,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1635854400000,2021-11-02 12:00:00,10,4,6,-30,41.06,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1635940800000,2021-11-03 12:00:00,16,8,8,-48,198.77,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636027200000,2021-11-04 12:00:00,13,7,6,-39,185.02,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636113600000,2021-11-05 12:00:00,11,7,4,-33,179.44,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636200000000,2021-11-06 12:00:00,10,3,7,-30,37.31,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636286400000,2021-11-07 12:00:00,16,10,6,-48,353.38,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636372800000,2021-11-08 12:00:00,19,8,11,-57,140.63,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636459200000,2021-11-09 12:00:00,14,8,6,-42,158.52,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636545600000,2021-11-10 12:00:00,17,11,6,-51,417.73,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636632000000,2021-11-11 12:00:00,10,3,7,-30,10.87,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636718400000,2021-11-12 12:00:00,18,7,11,-54,9.31999999999999,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636804800000,2021-11-13 12:00:00,13,6,7,-39,121.03,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636891200000,2021-11-14 12:00:00,10,5,5,-30,181.34,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1636977600000,2021-11-15 12:00:00,24,18,6,-72,617.69,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637064000000,2021-11-16 12:00:00,27,14,13,-81,168.51,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637150400000,2021-11-17 12:00:00,15,9,6,-45,226.68,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637236800000,2021-11-18 12:00:00,27,16,11,-81,382.82,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637323200000,2021-11-19 12:00:00,13,4,9,-39,9.16,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637409600000,2021-11-20 12:00:00,9,6,3,-27,237.6,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637496000000,2021-11-21 12:00:00,15,7,8,-45,153.78,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637582400000,2021-11-22 12:00:00,22,17,5,-66,495.48,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637668800000,2021-11-23 12:00:00,16,10,6,-48,285.42,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637755200000,2021-11-24 12:00:00,19,14,5,-57,390.14,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637841600000,2021-11-25 12:00:00,22,13,9,-66,290.86,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1637928000000,2021-11-26 12:00:00,15,8,7,-45,181.49,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1638014400000,2021-11-27 12:00:00,12,6,6,-36,132.45,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1638100800000,2021-11-28 12:00:00,14,8,6,-42,180.87,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1638187200000,2021-11-29 12:00:00,22,13,9,-66,445.29,,,
BTCUSDT,1,5000,6,0,0.05,0.15,0.8,0.4,1638273600000,2021-11-30 12:00:00,21,9,12,-63,163.33,6655.02,-1461,5194.02
