Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,41,28,13,-123,761.51,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,36,27,9,-108,728.58,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,37,25,12,-111,613.34,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,35,24,11,-105,621.92,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,35,23,12,-105,568.71,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,46,29,17,-138,764.25,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,47,28,19,-141,672.68,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,49,27,22,-147,673.27,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,50,28,22,-150,534.45,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,49,26,23,-147,623.63,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,44,30,14,-132,814.45,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,54,36,18,-162,889.4,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,55,39,16,-165,936.7,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,59,43,16,-177,1180.51,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,58,38,20,-174,853.31,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,57,39,18,-171,1050.05,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,52,33,19,-156,853.22,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,57,35,22,-171,898.52,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,51,31,20,-153,710.33,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,55,33,22,-165,760.68,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,56,38,18,-168,1109.04,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,54,41,13,-162,1618.84,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,50,35,15,-150,1387.48,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,51,36,15,-153,1533.18,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,50,37,13,-150,1597.5,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,53,32,21,-159,1057.76,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,54,33,21,-162,1135.82,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,56,35,21,-168,1099.09,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,68,45,23,-204,1288.2,,,
BTCUSDT,5,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,75,45,30,-225,939.96,28276.38,-4602,23674.38
